Año;Codigo Provincia;Codigo Municipio;Municipio;Codigo Comarca;Comarca;codigo producto;grupo de cultivo;cultivo;Superficie Secano que no produce;Superficie Secano en producción;Superficie Regadío que no produce;Superficie Regadío en producción
2013;49;226;VADILLO DE LA GUAREÑA;6;DUERO BAJO;1200/18;FRUTALES;ALMENDRO;;2;;
2013;49;226;VADILLO DE LA GUAREÑA;6;DUERO BAJO;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;103;;
2013;49;226;VADILLO DE LA GUAREÑA;6;DUERO BAJO;1400/02;OLIVAR;OLI ACEITUNA ACEITE;;;3;
2013;49;227;VALCABADO;4;CAMPOS-PAN;1200/01;FRUTALES;MANZANO;;;;2
2013;49;227;VALCABADO;4;CAMPOS-PAN;1200/02;FRUTALES;PERAL;;;;2
2013;49;227;VALCABADO;4;CAMPOS-PAN;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;5;;
2013;49;228;VALDEFINJAS;6;DUERO BAJO;1200/18;FRUTALES;ALMENDRO;;2;;
2013;49;228;VALDEFINJAS;6;DUERO BAJO;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;145;;
2013;49;229;VALDESCORRIEL;2;BENAVENTE Y LOS VALLES;1200/01;FRUTALES;MANZANO;;1;;1
2013;49;229;VALDESCORRIEL;2;BENAVENTE Y LOS VALLES;1200/02;FRUTALES;PERAL;;1;;1
2013;49;229;VALDESCORRIEL;2;BENAVENTE Y LOS VALLES;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;2;;
2013;49;230;VALLESA;6;DUERO BAJO;1200/01;FRUTALES;MANZANO;;;;1
2013;49;230;VALLESA;6;DUERO BAJO;1200/02;FRUTALES;PERAL;;;;1
2013;49;230;VALLESA;6;DUERO BAJO;1200/18;FRUTALES;ALMENDRO;;2;;
2013;49;230;VALLESA;6;DUERO BAJO;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;2;;
2013;49;231;VEGA DE TERA;2;BENAVENTE Y LOS VALLES;1200/01;FRUTALES;MANZANO;;1;;
2013;49;231;VEGA DE TERA;2;BENAVENTE Y LOS VALLES;1200/02;FRUTALES;PERAL;;1;;
2013;49;231;VEGA DE TERA;2;BENAVENTE Y LOS VALLES;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;39;;
2013;49;233;VEGALATRAVE;3;ALISTE;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;13;;
2013;49;234;VENIALBO;6;DUERO BAJO;1200/01;FRUTALES;MANZANO;;1;;
2013;49;234;VENIALBO;6;DUERO BAJO;1200/07;FRUTALES;CEREZO Y GUINDO;;1;;
2013;49;234;VENIALBO;6;DUERO BAJO;1200/18;FRUTALES;ALMENDRO;;2;;
2013;49;234;VENIALBO;6;DUERO BAJO;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;242;;
2013;49;235;VEZDEMARBAN;4;CAMPOS-PAN;1200/22;FRUTALES;PISTACHO;5;;;
2013;49;236;VIDAYANES;4;CAMPOS-PAN;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;3;;
2013;49;237;VIDEMALA;3;ALISTE;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;12;;
2013;49;238;VILLABRAZARO;2;BENAVENTE Y LOS VALLES;1200/01;FRUTALES;MANZANO;;1;;1
2013;49;238;VILLABRAZARO;2;BENAVENTE Y LOS VALLES;1200/02;FRUTALES;PERAL;;1;;1
2013;49;238;VILLABRAZARO;2;BENAVENTE Y LOS VALLES;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;27;;
2013;49;238;VILLABRAZARO;2;BENAVENTE Y LOS VALLES;1400/02;OLIVAR;OLI ACEITUNA ACEITE;;1;;
2013;49;239;VILLABUENA DEL PUENTE;6;DUERO BAJO;1200/07;FRUTALES;CEREZO Y GUINDO;;1;;
2013;49;239;VILLABUENA DEL PUENTE;6;DUERO BAJO;1200/18;FRUTALES;ALMENDRO;;3;;
2013;49;239;VILLABUENA DEL PUENTE;6;DUERO BAJO;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;230;;
2013;49;240;VILLADEPERA;5;SAYAGO;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;34;;
2013;49;241;VILLAESCUSA;6;DUERO BAJO;1200/18;FRUTALES;ALMENDRO;;1;;
2013;49;241;VILLAESCUSA;6;DUERO BAJO;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;15;;
